"";"Num_Acc";"catr";"circ";"nbv";"vosp";"prof";"plan";"surf";"infra";"situ";"vma"
"7350";"202100007350";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7351";"202100007351";"3";"1";"1";"0";"1";"1";"2";"0";"1";"50"
"7352";"202100007352";"3";"2";"2";"0";"1";"1";"2";"0";"1";"30"
"7353";"202100007353";"3";"3";"3";"0";"1";"1";"1";"0";"1";"50"
"7354";"202100007354";"3";"3";"1";"0";"1";"1";"1";"0";"1";"50"
"7355";"202100007355";"3";"1";"2";"0";"1";"1";"1";"0";"1";"50"
"7356";"202100007356";"3";NA;"2";"0";"1";"1";"2";"0";"1";"30"
"7357";"202100007357";"4";"2";"4";"2";"1";"1";"1";"0";"5";"30"
"7358";"202100007358";"3";"2";"3";"0";"1";"1";"1";"0";"1";"50"
"7359";"202100007359";"4";"1";"1";"0";"1";"2";"1";"0";"1";"50"
"7360";"202100007360";"3";"1";"2";"0";"1";"1";"1";"0";"1";"50"
"7361";"202100007361";"4";"2";"2";"0";"1";"1";"1";"0";"1";"30"
"7362";"202100007362";"3";"2";"4";"0";"1";"1";"1";"0";"1";"50"
"7363";"202100007363";"3";"2";"3";"0";"1";"1";"1";"0";"1";"50"
"7364";"202100007364";"3";"3";"2";"0";"2";"1";"1";"0";"1";"50"
"7365";"202100007365";"3";"2";"2";"0";"1";"1";"1";"5";"1";"30"
"7366";"202100007366";"3";"1";"1";"1";"1";"1";"1";"0";"1";"50"
"7367";"202100007367";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7368";"202100007368";"3";"2";"2";"0";"1";"1";"1";"5";"1";"50"
"7369";"202100007369";"4";"1";"1";"0";"1";"1";"1";"0";"1";"50"
"7370";"202100007370";"4";"1";"3";"2";"1";"1";"1";"5";"1";"50"
"7371";"202100007371";"3";"3";"4";"1";"1";"1";"1";"0";"1";"50"
"7372";"202100007372";"3";"2";"2";"0";"4";"1";"1";"0";"1";"50"
"7373";"202100007373";"3";"1";"1";"0";"1";"2";"2";"1";"1";"50"
"7374";"202100007374";"3";"2";"1";"0";"1";"1";"2";"0";"3";"80"
"7375";"202100007375";"3";NA;"2";"0";"1";"1";"2";"0";"3";"70"
"7376";"202100007376";"4";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7377";"202100007377";"3";"2";"2";"0";"2";"1";"1";"0";"3";"90"
"7378";"202100007378";"3";"2";"2";"0";"1";"4";"2";"0";"1";"70"
"7379";"202100007379";"1";"3";"3";"0";"1";"1";"1";"0";"1";"130"
"7380";"202100007380";"3";"2";"2";"0";"1";"1";"1";"0";"1";"50"
"7381";"202100007381";"4";"3";"2";"0";"1";"1";"1";"0";"1";"30"
"7382";"202100007382";"3";"2";"2";"0";"2";"3";"1";"0";"3";"80"
"7383";"202100007383";"3";"2";"2";"0";"2";"1";"1";"0";"1";"80"
