"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000169";NA;0;80;"normale";"pente/cote";"courbe";"non"
"202100000170";"2";2;80;"normale";"pente/cote";"courbe";"non"
"202100000171";"3";2;50;"normale";"plat";"rectiligne";"non"
"202100000172";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000173";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000174";"1";1;70;"normale";"plat";"courbe";"oui"
"202100000175";"2";2;80;"normale";"pente/cote";"courbe";"non"
"202100000176";NA;2;30;"normale";"plat";"rectiligne";"oui"
"202100000177";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000178";"2";1;50;"normale";"pente/cote";"rectiligne";"non"
"202100000179";"3";3;50;"normale";"plat";"rectiligne";"non"
"202100000180";"2";NA;50;"normale";"plat";"rectiligne";"non"
"202100000181";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000182";"3";4;130;"normale";"plat";"rectiligne";"non"
"202100000183";"2";2;70;"normale";"plat";"rectiligne";NA
"202100000184";"2";3;50;"normale";"pente/cote";"rectiligne";"non"
"202100000185";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000186";"2";2;70;"normale";"plat";"rectiligne";"non"
"202100000187";"2";4;50;"risquée";"pente/cote";"courbe";"oui"
"202100000188";"2";2;90;"normale";"plat";"courbe";"non"
"202100000189";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000190";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000191";"2";3;30;"risquée";"plat";"rectiligne";"non"
"202100000192";NA;2;NA;"risquée";"pente/cote";"courbe";"oui"
"202100000193";NA;2;80;"risquée";"plat";"courbe";"non"
"202100000194";"2";2;80;"risquée";"plat";"courbe";"non"
"202100000195";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000196";"3";3;110;"risquée";"plat";"rectiligne";"non"
"202100000197";"2";0;30;"normale";"plat";"rectiligne";"non"
"202100000198";"2";2;50;"risquée";"plat";"courbe";NA
"202100000199";"2";4;50;"normale";"plat";"rectiligne";"non"
"202100000200";"3";1;50;"normale";"plat";"rectiligne";"non"
"202100000201";"4";1;30;"risquée";"plat";"rectiligne";"oui"
"202100000202";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000203";"2";2;80;"normale";"pente/cote";"rectiligne";"non"
"202100000204";"2";1;50;"normale";"plat";"courbe";"non"
"202100000205";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000206";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000207";"1";1;50;"normale";"pente/cote";"rectiligne";"non"
"202100000208";"1";2;90;"normale";"pente/cote";"courbe";"non"
"202100000209";"2";1;80;"normale";"plat";"rectiligne";"non"
"202100000210";"2";1;30;"risquée";"plat";"rectiligne";"oui"
"202100000211";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000212";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000213";"2";2;80;"normale";"plat";"courbe";"non"
"202100000214";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000215";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000216";"2";2;80;"risquée";"plat";"rectiligne";"non"
"202100000217";"2";NA;90;"risquée";"pente/cote";"courbe";"non"
"202100000218";"2";NA;50;"risquée";"plat";"rectiligne";"oui"
"202100000219";"2";2;50;"risquée";"pente/cote";"courbe";"non"
"202100000220";"3";2;50;"normale";"plat";"rectiligne";"non"
"202100000221";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000222";"2";2;50;"normale";"plat";"courbe";"non"
"202100000223";"3";5;50;"normale";"plat";"rectiligne";"non"
"202100000224";"1";1;30;"normale";"plat";"rectiligne";"non"
"202100000225";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000226";"2";2;50;"normale";"plat";"rectiligne";NA
"202100000227";"3";2;110;"normale";"pente/cote";"rectiligne";"oui"
"202100000228";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000229";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000230";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000231";"3";4;50;"normale";"plat";"rectiligne";"non"
"202100000232";"2";3;50;"normale";"pente/cote";"rectiligne";"non"
"202100000233";"3";6;50;"normale";"plat";"rectiligne";"non"
"202100000234";"2";2;50;"normale";"plat";"courbe";"non"
"202100000235";"1";2;50;"normale";"plat";"courbe";"oui"
"202100000236";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000237";"2";0;50;"normale";"plat";"rectiligne";"non"
"202100000238";NA;1;30;"normale";"pente/cote";"courbe";"oui"
"202100000239";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000240";"2";3;30;"normale";"plat";"rectiligne";NA
"202100000241";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000242";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000243";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000244";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000245";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000246";"3";5;50;"normale";"plat";"rectiligne";"oui"
"202100000247";"1";0;40;"risquée";"pente/cote";"rectiligne";"non"
"202100000248";"2";3;50;"normale";"plat";"rectiligne";"oui"
"202100000249";"3";4;90;"risquée";"plat";"rectiligne";"non"
"202100000250";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000251";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000252";NA;NA;10;"risquée";"plat";"rectiligne";"oui"
"202100000253";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000254";NA;0;30;"normale";"plat";"rectiligne";"non"
"202100000255";"2";1;80;"normale";"plat";"rectiligne";"non"
"202100000256";"2";2;50;"risquée";"pente/cote";"courbe";"non"
"202100000257";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000258";"2";2;50;"risquée";"pente/cote";"rectiligne";"non"
"202100000259";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000260";"3";NA;NA;"normale";"plat";"rectiligne";"non"
"202100000261";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000262";"3";3;30;"normale";"pente/cote";"rectiligne";"non"
"202100000263";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000264";NA;2;50;"normale";"plat";"rectiligne";"non"
"202100000265";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000266";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000267";"1";2;70;"normale";"plat";"rectiligne";"non"
"202100000268";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000269";"2";2;50;"normale";"plat";"courbe";"oui"
"202100000270";"2";1;50;"normale";"pente/cote";"courbe";"non"
"202100000271";"2";NA;NA;"normale";"plat";"rectiligne";"oui"
"202100000272";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000273";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000274";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000275";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000276";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000277";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000278";"3";3;130;"normale";"plat";"rectiligne";"non"
"202100000279";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000280";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000281";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000282";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000283";"2";4;50;"normale";"plat";"rectiligne";"non"
"202100000284";"1";3;50;"risquée";"plat";"rectiligne";"non"
"202100000285";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000286";"3";4;110;"normale";"plat";"rectiligne";"non"
"202100000287";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000288";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000289";NA;2;50;"normale";"plat";"rectiligne";"non"
"202100000290";"2";2;50;"risquée";"plat";"rectiligne";"non"
